problem,has_bounds,route_key,constraint_tag,objective_tag,init_source,n_runs,success_rate,success_any,best_nfev,best_time,best_f_final,total_time_sec,total_nfev,llm_total_time_sec,llm_total_nfev,best_time_cost_capped,best_nfev_cost_capped,fallback_rate
BT11,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,30.0,0.03557425300095929,7.183697143698925e-10,,,0.21137515700320364,183.0,0.03557425300095929,30.0,0.0
BT11,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.1062927570019383,2.5024800809677895e+77,1.130552918995818,10.0,,,0.1062927570019383,1.0,0.0
BT11,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.10462973000176135,1.3294997158205636e+78,1.0651276879980287,10.0,,,0.10462973000176135,1.0,0.0
BT12,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,10.0,0.01784044700252707,1.6739039555709374e-37,,,,,0.01784044700252707,10.0,0.0
BT12,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,7.0,0.010588154997094534,1.0189682641060492e-14,,,0.07248578399594408,35.0,0.010588154997094534,7.0,0.0
BT12,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,9.0,0.013406288999249227,1.6739039555709374e-37,,,0.06876471600116929,47.0,0.013406288999249227,9.0,0.0
BT12,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.10458122400086722,1.2767841286744117e+38,1.12599045600291,10.0,,,0.10458122400086722,1.0,0.0
BT12,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.10621524199814303,4.175227720354462e+38,1.1147736970015103,10.0,,,0.10621524199814303,1.0,0.0
BT13,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,235.0,0.2325166429982346,0.0008152929015823747,,,,,0.2325166429982346,235.0,0.0
BT13,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,120.0,0.11241226999845821,0.0008152905877442545,,,1.1211314809952455,1173.0,0.11241226999845821,120.0,0.0
BT13,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,120.0,0.11322484199990868,0.0008152929015823747,,,1.120113991004473,1173.0,0.11322484199990868,120.0,0.0
BT13,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.08494246000191197,4.76108600381492e+19,0.9197677860029216,10.0,,,0.08494246000191197,1.0,0.0
BT13,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.08594106400050805,7.619863426781426e+18,0.8897676660017169,10.0,,,0.08594106400050805,1.0,0.0
BT2,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,27.0,0.03693363400088856,9.31216928493432e-10,,,,,0.03693363400088856,27.0,0.0
BT2,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,23.0,0.029400182000244968,5.304429753329259e-10,,,0.1890897980047157,125.0,0.029400182000244968,23.0,0.0
BT2,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,22.0,0.027925071997742634,1.51028022147328e-10,,,0.19807304200003273,172.0,0.027925071997742634,22.0,0.0
BT2,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,49.0,0.10511291500006337,7.237299792147109e+73,1.0920568100009405,622.0,,,0.10511291500006337,49.0,0.0
BT2,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.10525754699847312,7.689121131638368e+72,1.0710446649936785,10.0,,,0.10525754699847312,1.0,0.0
BT3,False,LEB:LS,LEB,LS,cutest,1,1.0,True,5.0,0.002286525003000861,1.8932661725304283e-29,,,,,0.002286525003000861,5.0,0.0
BT3,False,LEB:LS,LEB,LS,llm_post,5,1.0,True,5.0,0.00032752100014477037,4.930380657631324e-32,,,0.0018169999966630712,25.0,0.00032752100014477037,5.0,0.0
BT3,False,LEB:LS,LEB,LS,llm_raw,5,1.0,True,5.0,0.00014534500223817304,6.310887241768095e-30,,,0.0009857210025074892,25.0,0.00014534500223817304,5.0,0.0
BT3,False,LEB:LS,LEB,LS,random_post,10,1.0,True,1.0,0.1038495030006743,7.43798540625361e+38,1.2748303239932284,10.0,,,0.1038495030006743,1.0,0.0
BT3,False,LEB:LS,LEB,LS,random_raw,10,1.0,True,1.0,0.0031412620010087267,4.000000194443457,1.0705351939977845,1542.0,,,0.0031412620010087267,1.0,0.0
BT4,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,34.0,0.14831547100038733,-1.0000000000000005e+60,,,,,0.14831547100038733,34.0,0.0
BT4,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,34.0,0.14239474300120492,-1.0000000000000005e+60,,,0.7379275389976101,170.0,0.14239474300120492,34.0,0.0
BT4,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,34.0,0.14357076500164112,-1.0000000000000005e+60,,,0.7391353840030206,170.0,0.14357076500164112,34.0,0.0
BT4,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,0.7,True,1.0,0.1060338210008922,-1.0000000000000005e+60,1.5926019600046857,595.0,,,0.1060338210008922,1.0,0.0
BT4,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.1037815439995029,-9.087242874437428e+59,1.0650165549923258,10.0,,,0.1037815439995029,1.0,0.0
BT5,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,0.0,False,,,,,,,,60.0,1000000.0,0.0
BT5,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,0.0,False,,,,,,0.9002774740001769,0.0,60.0,1000000.0,0.0
BT5,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,0.2,True,1.0,0.001421862001734553,1000.0,,,0.6928401790028147,1.0,0.001421862001734553,1.0,0.0
BT5,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,0.0,False,,,,1.5437482819979778,0.0,,,60.0,1000000.0,0.0
BT5,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.1030256099984399,-4.0737470604041415e+40,1.1040775470028166,10.0,,,0.1030256099984399,1.0,0.0
BT6,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,38.0,0.05086402600136353,2.1108485911400395e-09,,,,,0.05086402600136353,38.0,0.0
BT6,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,35.0,0.04368792599780136,1.0205030972141458e-09,,,0.30212062199643697,219.0,0.04368792599780136,35.0,0.0
BT6,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,30.0,0.0355086810013745,1.0205030972141458e-09,,,0.24397483299981104,214.0,0.0355086810013745,30.0,0.0
BT6,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.10759599700031686,1.0905615097306065e+112,1.1680663869992713,10.0,,,0.10759599700031686,1.0,0.0
BT6,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.1063648759991338,3.620970446083736e+112,1.0800438140031474,10.0,,,0.1063648759991338,1.0,0.0
BT7,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,63.0,0.06900137499906123,5.089466462466224e-13,,,,,0.06900137499906123,63.0,0.0
BT7,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,20.0,0.02455763299803948,1.2613609837259142e-18,,,0.1911072079965379,146.0,0.02455763299803948,20.0,0.0
BT7,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,57.0,0.05878015899725142,3.7979406569677696e-17,,,0.33917279599700123,346.0,0.05878015899725142,57.0,0.0
BT7,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.10789626800033147,1.6991370664421488e+75,1.1760260439987178,10.0,,,0.10789626800033147,1.0,0.0
BT7,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.10901562399885734,3.346701268139656e+76,1.1647264040002483,10.0,,,0.10901562399885734,1.0,0.0
BT8,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,3.0,0.008139903999108355,0.0,,,,,0.008139903999108355,3.0,0.0
BT8,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,3.0,0.006355855999572668,0.0,,,0.03293091299929074,15.0,0.006355855999572668,3.0,0.0
BT8,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,3.0,0.0030524649992003106,0.0,,,0.016629265999654308,15.0,0.0030524649992003106,3.0,0.0
BT8,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.10503585599872167,6.733658513354462e+38,1.1080811200008611,10.0,,,0.10503585599872167,1.0,0.0
BT8,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.10544284799834713,4.833943248513986e+38,1.0861497420009982,10.0,,,0.10544284799834713,1.0,0.0
