problem,has_bounds,init_source,n_runs,success_rate,success_any,best_nfev,median_nfev,best_time,median_time,best_f_final,fallback_rate
HS38,TRUE,cutest,1,1,TRUE,33,33,0.023298255,0.023298255,3.07E-16,0
HS38,TRUE,llm_post,5,1,TRUE,32,33,0.000694139,0.001346079,7.70E-17,0
HS38,TRUE,llm_raw,5,1,TRUE,32,33,0.000558645,0.000592686,7.70E-17,0
HS38,TRUE,random_post,10,1,TRUE,40,45.5,0.001542752,0.001816577,5.36E-17,0
HS38,TRUE,random_raw,10,1,TRUE,40,45.5,0.001564423,0.002857186,5.36E-17,0
HS3MOD,TRUE,cutest,1,1,TRUE,9,9,0.002178613,0.002178613,0,0
HS3MOD,TRUE,llm_post,5,1,TRUE,9,9,0.000181011,0.000210201,0,0
HS3MOD,TRUE,llm_raw,5,1,TRUE,9,9,0.000181244,0.000244376,0,0
HS3MOD,TRUE,random_post,10,0.2,TRUE,4,4.5,0.000169272,0.000193826,1.20E+19,0
HS3MOD,TRUE,random_raw,10,0.2,TRUE,4,4.5,0.000142193,0.000182232,1.20E+19,0
HS40,FALSE,cutest,1,1,TRUE,34,34,0.143700658,0.143700658,-1.00E+80,0
HS40,FALSE,llm_post,5,0,FALSE,,,,,,0
HS40,FALSE,llm_raw,5,0.2,TRUE,34,34,0.151933104,0.151933104,-1.00E+80,0
HS40,FALSE,random_post,10,0.1,TRUE,58,58,0.149248137,0.149248137,-8.17E+79,0
HS40,FALSE,random_raw,10,1,TRUE,1,1,0.099155801,0.102178394,-2.28E+79,0
HS42,FALSE,cutest,1,1,TRUE,3,3,0.006940284,0.006940284,0,0
HS42,FALSE,llm_post,5,1,TRUE,3,3,0.003423599,0.003548289,0,0
HS42,FALSE,llm_raw,5,1,TRUE,3,3,0.003018829,0.003192343,0,0
HS42,FALSE,random_post,10,1,TRUE,1,1,0.106213341,0.1103073,4.50E+38,0
HS42,FALSE,random_raw,10,1,TRUE,1,1,0.105873363,0.108164153,4.01E+39,0
HS45,TRUE,cutest,1,1,TRUE,11,11,0.001554314,0.001554314,1,0
HS45,TRUE,llm_post,5,1,TRUE,11,11,0.00017717,0.000187206,1,0
HS45,TRUE,llm_raw,5,1,TRUE,11,11,0.000179759,0.000188407,1,0
HS45,TRUE,random_post,10,1,TRUE,8,15.5,0.000186557,0.000256072,1,0
HS45,TRUE,random_raw,10,1,TRUE,8,15.5,0.000174762,0.00025361,1,0
HS46,FALSE,cutest,1,1,TRUE,30,30,0.040481768,0.040481768,5.72E-09,0
HS46,FALSE,llm_post,5,1,TRUE,30,30,0.034306844,0.038573537,5.72E-09,0
HS46,FALSE,llm_raw,5,1,TRUE,30,30,0.035002,0.036010532,5.72E-09,0
HS46,FALSE,random_post,10,1,TRUE,1,1,0.105991898,0.109361956,3.36E+104,0
HS46,FALSE,random_raw,10,1,TRUE,1,1,0.105423695,0.108100636,3.62E+112,0
HS47,FALSE,cutest,1,0,FALSE,,,,,,0
HS47,FALSE,llm_post,5,0.2,TRUE,262,262,0.292084937,0.292084937,-8.00E+60,0
HS47,FALSE,llm_raw,5,0,FALSE,,,,,,0
HS47,FALSE,random_post,10,1,TRUE,1,1,0.105986785,0.107913573,2.50E+77,0
HS47,FALSE,random_raw,10,1,TRUE,1,1,0.106098085,0.107636672,1.33E+78,0
HS49,FALSE,cutest,1,1,TRUE,52,52,0.013460302,0.013460302,3.75E-13,0
HS49,FALSE,llm_post,5,1,TRUE,52,52,0.000685839,0.000700799,3.75E-13,0
HS49,FALSE,llm_raw,5,1,TRUE,51,52,0.000668829,0.000748084,3.75E-13,0
HS49,FALSE,random_post,10,1,TRUE,1,1,0.107050349,0.110413321,3.18E+108,0
HS49,FALSE,random_raw,10,1,TRUE,1,1,0.105495513,0.107534565,3.62E+112,0
HS50,FALSE,cutest,1,1,TRUE,39,39,0.002486769,0.002486769,4.01E-13,0
HS50,FALSE,llm_post,5,1,TRUE,38,39,0.000600114,0.00065502,4.01E-13,0
HS50,FALSE,llm_raw,5,1,TRUE,38,39,0.000511828,0.000556951,3.42E-13,0
HS50,FALSE,random_post,10,1,TRUE,1,1,0.106911556,0.125712574,1.07E+75,0
HS50,FALSE,random_raw,10,1,TRUE,1,1,0.103870196,0.108040612,2.11E+76,0
HS51,FALSE,cutest,1,1,TRUE,5,5,0.002175148,0.002175148,4.93E-32,0
HS51,FALSE,llm_post,5,1,TRUE,5,5,0.000141972,0.0001655,4.93E-32,0
HS51,FALSE,llm_raw,5,1,TRUE,5,5,0.000144785,0.000164315,4.93E-32,0
HS51,FALSE,random_post,10,1,TRUE,1,1,0.106572899,0.127031204,7.44E+38,0
HS51,FALSE,random_raw,10,1,TRUE,1,1,0.003886718,0.10716597,4.000000194,0
HS52,FALSE,cutest,1,1,TRUE,8,8,0.002455984,0.002455984,4.44E-31,0
HS52,FALSE,llm_post,5,1,TRUE,8,8,0.000392407,0.000402233,0,0
HS52,FALSE,llm_raw,5,1,TRUE,8,8,0.000162037,0.000197188,0,0
HS52,FALSE,random_post,10,1,TRUE,1,1,0.104817893,0.109588447,2.07E+39,0
HS52,FALSE,random_raw,10,1,TRUE,1,1,0.103169173,0.107904672,3.79E+39,0
HS53,TRUE,cutest,1,1,TRUE,5,5,0.002158338,0.002158338,4.93E-32,0
HS53,TRUE,llm_post,5,1,TRUE,5,5,0.000330213,0.000345224,1.23E-32,0
HS53,TRUE,llm_raw,5,1,TRUE,5,5,0.000323436,0.000341506,0,0
HS53,TRUE,random_post,10,1,TRUE,5,5,0.000343725,0.000397959,0,0
HS53,TRUE,random_raw,10,1,TRUE,5,7,0.000197177,0.000252982,6.16E-32,0
HS54,TRUE,cutest,1,1,TRUE,29,29,0.002470004,0.002470004,-0.955217496,0
HS54,TRUE,llm_post,5,1,TRUE,31,32,0.000899616,0.001321936,-0.955217496,0
HS54,TRUE,llm_raw,5,1,TRUE,29,29,0.001218575,0.001283281,-0.955217496,0
HS54,TRUE,random_post,10,1,TRUE,1,1,0.000220568,0.000254544,-0.987130734,0
HS54,TRUE,random_raw,10,1,TRUE,1,1,9.54E-05,0.000123221,-0.920770831,0
HS55,TRUE,cutest,1,1,TRUE,2,2,0.002500388,0.002500388,1,0
HS55,TRUE,llm_post,5,1,TRUE,2,2,0.000175915,0.000193845,1,0
HS55,TRUE,llm_raw,5,1,TRUE,2,2,0.000198479,0.000203864,1,0
HS55,TRUE,random_post,10,1,TRUE,2,2,0.000171534,0.000201252,1,0
HS55,TRUE,random_raw,10,1,TRUE,12,12,0.00020827,0.00024144,3.36E+19,0
HS57,TRUE,cutest,1,1,TRUE,12,12,0.020900341,0.020900341,0.030646322,0
HS57,TRUE,llm_post,5,1,TRUE,7,12,0.014721564,0.016084028,0.005593991,0
HS57,TRUE,llm_raw,5,1,TRUE,7,12,0.010652838,0.025591086,0.005593991,0
HS57,TRUE,random_post,10,1,TRUE,3,3,0.042137881,0.043293178,3.48E+102,0
HS57,TRUE,random_raw,10,1,TRUE,1,1,0.087910886,0.105373137,3.26E+35,0
HS59,TRUE,cutest,1,1,TRUE,32,32,0.036313938,0.036313938,-51.73774724,0
HS59,TRUE,llm_post,5,1,TRUE,13,13,0.016678463,0.017057312,-6.74950472,0
HS59,TRUE,llm_raw,5,1,TRUE,14,16,0.016077704,0.01776458,-51.73774724,0
HS59,TRUE,random_post,10,1,TRUE,10,13,0.013811421,0.016804189,-23.88274295,0
HS59,TRUE,random_raw,10,1,TRUE,10,13.5,0.014638665,0.017197696,-51.73774724,0
HS6,FALSE,cutest,1,1,TRUE,3,3,0.006772067,0.006772067,4.93E-32,0
HS6,FALSE,llm_post,5,1,TRUE,3,3,0.003149892,0.003470966,6.04E-31,0
HS6,FALSE,llm_raw,5,1,TRUE,3,3,0.00282399,0.002940173,4.93E-32,0
HS6,FALSE,random_post,10,1,TRUE,18,20,0.016632837,0.019172122,0,0
HS6,FALSE,random_raw,10,1,TRUE,1,1,0.103096462,0.104238607,1.83E+37,0
HS62,TRUE,cutest,1,1,TRUE,17,17,0.002644671,0.002644671,-30525.10019,0
HS62,TRUE,llm_post,5,1,TRUE,17,17,0.0004616,0.000506512,-30525.10019,0
HS62,TRUE,llm_raw,5,1,TRUE,17,17,0.00043472,0.000455165,-30525.10019,0
HS62,TRUE,random_post,10,1,TRUE,13,22.5,0.00044197,0.001153585,-30525.10171,0
HS62,TRUE,random_raw,10,1,TRUE,11,19.5,0.000634167,0.00099783,-30525.10171,0
HS64,TRUE,cutest,1,1,TRUE,36,36,0.046064553,0.046064553,5800,0
HS64,TRUE,llm_post,5,1,TRUE,38,45,0.039565089,0.051329901,5800,0
HS64,TRUE,llm_raw,5,1,TRUE,34,35,0.039637457,0.040630617,5800,0
HS64,TRUE,random_post,10,1,TRUE,1,1,0.085251691,0.086444569,3.99E+20,0
HS64,TRUE,random_raw,10,1,TRUE,1,1,0.082631704,0.085057478,3.99E+20,0
HS65,TRUE,cutest,1,1,TRUE,15,15,0.023822339,0.023822339,0.111526886,0
HS65,TRUE,llm_post,5,1,TRUE,12,15,0.013513798,0.017270903,0.111526823,0
HS65,TRUE,llm_raw,5,1,TRUE,12,15,0.013900497,0.017125426,0.111526823,0
HS65,TRUE,random_post,10,1,TRUE,12,14,0.014107143,0.015438401,0.1114609,0
HS65,TRUE,random_raw,10,1,TRUE,12,14,0.01437214,0.015696034,0.1114609,0
HS68,TRUE,cutest,1,1,TRUE,29,29,0.03600697,0.03600697,-0.98522939,0
HS68,TRUE,llm_post,5,1,TRUE,15,16,0.02116581,0.022656291,-0.985229338,0
HS68,TRUE,llm_raw,5,1,TRUE,15,17,0.021895861,0.022018844,-0.985229394,0
HS68,TRUE,random_post,10,1,TRUE,33,70.5,0.035498432,0.102621766,-0.985231978,0
HS68,TRUE,random_raw,10,1,TRUE,17,33,0.027097431,0.254807404,-0.985231978,0
HS69,TRUE,cutest,1,1,TRUE,24,24,0.035930877,0.035930877,-995.5212609,0
HS69,TRUE,llm_post,5,1,TRUE,21,23,0.026674901,0.030858315,-995.5212715,0
HS69,TRUE,llm_raw,5,1,TRUE,21,24,0.025589692,0.028746098,-995.5212656,0
HS69,TRUE,random_post,10,1,TRUE,21,39,0.039209313,0.308466507,-995.5212745,0
HS69,TRUE,random_raw,10,1,TRUE,21,37,0.022544751,0.039183165,-995.5212628,0
HS70,TRUE,cutest,1,1,TRUE,36,36,0.046835577,0.046835577,0.007498464,0
HS70,TRUE,llm_post,5,1,TRUE,33,36,0.040579208,0.041605137,0.007498464,0
HS70,TRUE,llm_raw,5,1,TRUE,33,36,0.038292679,0.040279034,0.007498464,0
HS70,TRUE,random_post,10,1,TRUE,21,61.5,0.048578622,0.066846313,0.186375482,0
HS70,TRUE,random_raw,10,1,TRUE,21,61.5,0.057343151,0.066388474,0.186375482,0
HS72,TRUE,cutest,1,1,TRUE,7,7,0.015763401,0.015763401,1.007285885,0
HS72,TRUE,llm_post,5,1,TRUE,141,163,0.140103847,0.16127926,1.007204513,0
HS72,TRUE,llm_raw,5,1,TRUE,7,8,0.009355213,0.010250833,1.007206876,0
HS72,TRUE,random_post,10,1,TRUE,26,31,0.475515588,0.482795026,1.004,0
HS72,TRUE,random_raw,10,1,TRUE,26,31,0.465651626,0.494293909,1.004,0
HS73,TRUE,cutest,1,1,TRUE,8,8,0.019341623,0.019341623,0.017256108,0
